,20101,20102,20103,20104,20105,20106,20107,20108,20109,20110,20111,20112,201121,201122,201123,20201,20202,202021,202022,20301,20302,20303,20304,20401,204011,204012,204013,20402,20403,20404,20405,204051,204052,204053,20406,20501,20502,20503,20504,20505,20506,20507,20508,20601,20602,20603,20604,20701,20702,207021,207022,207023,20703,20801,20802,20803,20901,20902,209021,209022,209023,209024,209025,209026,209027,209028,20903,20904,209041,209042,209043,209044,21001,210011,210012,210013,210014,210015,21002,21003,21004
都道府県,穀類,魚介類,肉類,乳卵類,野菜・海藻,果物,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,一般外食,学校給食,賄い費,家賃地代,設備修繕・維持,設備材料,工事その他のサービス,電気代,ガス代,他の光熱,上下水道料,家庭用耐久財,家事用耐久財,冷暖房用器具,一般家具,室内装備・装飾品,寝具類,家事雑貨,家事用消耗品,ティッシュペーパー・トイレットペーパー,洗剤,他の家事用消耗品,家事サービス,和服,洋服,シャツ・セーター類,下着類,生地・糸類,他の被服,履物類,被服関連サービス,医薬品,健康保持用摂取品,保健医療用品・器具,保健医療サービス,交通,自動車等関係費,自動車等購入,自転車購入,自動車等維持,通信,授業料等,教科書・学習参考教材,補習教育,教養娯楽用耐久財,教養娯楽用品,文房具,運動用具類,玩具,切り花,他の教養娯楽用品,動物病院代,他のペット関連サービス,教養娯楽用品修理代,書籍・他の印刷物,教養娯楽サービス,宿泊料,パック旅行費,月謝類,他の教養娯楽サービス,諸雑費,理美容サービス,理美容用品,身の回り用品,たばこ,他の諸雑費,こづかい（使途不明）,交際費,仕送り金
広島県,5332,4296,5711,2889,6106,2559,2759,5092,9788,3745,2747,10335,9763,573,0,16098,5253,2003,3251,8234,3123,485,3981,2483,1689,493,300,591,475,2421,1883,332,433,1118,731,251,5074,1404,820,112,624,1057,371,2066,868,1584,7914,5228,24916,9722,78,15116,13287,6857,48,1011,1823,4938,432,1190,343,482,2193,155,144,0,2904,14224,1439,2618,2112,8055,21376,2661,3444,1215,796,13260,5177,7774,2751
山口県,5326,4501,5837,2975,6021,2315,2882,5252,8848,3715,2321,10711,10103,605,3,11929,6597,1478,5119,8650,3146,630,4389,1980,1103,695,183,540,400,1652,1853,306,455,1092,863,1,3319,1396,848,91,642,1043,401,2476,1053,1518,7785,4332,17931,3331,83,14517,12632,3409,37,1527,1829,5618,406,651,370,435,3299,244,207,6,2694,11297,1248,1181,1350,7518,19698,2461,3067,761,1027,12383,5144,7800,5291
徳島県,4783,4241,5824,2686,6355,2643,2767,4844,8663,3407,2171,9904,9156,748,0,9951,9535,716,8819,11284,2698,531,3049,1804,1198,279,328,647,409,1637,1810,309,453,1048,1254,16,3772,1298,739,55,544,784,327,1508,696,1446,6072,2670,22808,7301,198,15309,12883,3951,124,1475,1798,4466,309,770,381,556,2098,281,70,2,2904,12125,976,1735,1467,7948,17903,2084,3518,811,1258,10232,5861,9361,9123
香川県,5687,4232,5743,2700,5960,2492,2740,5367,9722,4049,2113,12776,11910,866,0,10388,5004,1397,3607,9933,3056,559,4297,2661,1519,456,686,535,565,2017,2026,354,461,1212,963,290,4741,1553,792,86,741,1256,428,2106,989,2924,9179,4067,17525,1537,121,15867,14025,4360,86,1484,1039,5929,466,1187,506,631,2490,440,206,3,2874,14026,1248,2170,2206,8402,21618,2908,3189,1735,1142,12644,7433,9620,7635
愛媛県,5496,4442,5552,2695,5825,2692,2619,4536,8111,3512,2163,8950,8326,625,0,9698,2954,928,2026,9400,2919,425,4143,2233,1493,249,491,849,636,1734,1850,365,418,1067,946,143,3659,1212,763,68,580,763,479,1902,593,1589,6373,2892,14807,2418,104,12285,11970,2347,88,1428,2098,3983,419,664,360,380,1859,240,55,7,2752,10764,1122,1486,1488,6668,23148,1949,2836,1860,1093,15409,5073,7894,9591
高知県,4998,5078,5408,2534,6282,3137,2629,4458,9448,3423,2937,9864,9312,551,0,9294,6223,953,5270,9352,3311,397,3244,2361,1301,834,227,505,429,1578,1899,339,427,1133,727,76,3750,1162,644,56,600,717,456,2183,1037,1640,6869,2876,15564,3653,220,11691,12892,8550,26,1073,680,4110,357,699,218,403,2193,134,90,17,3772,12338,819,1978,1460,8081,17614,2221,3934,735,1092,9632,4332,9264,4317
福岡県,4574,3803,5311,2499,5849,2209,2606,4913,8175,3532,2336,12411,11782,628,0,17049,5578,1126,4452,7357,3315,417,3941,2400,1264,677,459,444,491,1969,1964,334,423,1207,769,145,4953,1304,782,70,659,1036,500,1832,959,1726,7232,4603,16528,3876,110,12542,11836,4576,61,1277,1069,3921,435,691,298,324,1787,249,134,3,2471,14895,1290,3730,1820,8055,20451,2459,3452,1375,1595,11570,5403,9200,4556
佐賀県,5296,4574,6186,2603,6529,2229,2922,5069,8336,3500,2386,11256,10625,631,0,10455,6843,2090,4753,9382,2834,977,5287,3208,1809,1048,350,887,416,1810,1934,310,466,1157,1024,260,4136,1488,647,105,682,1005,433,2402,1067,1502,7319,3752,23298,6794,71,16433,12793,6079,89,1275,2361,5111,438,666,396,519,2429,418,245,0,2858,14277,1597,2379,2002,8299,21484,2592,3447,1420,1236,12789,4006,11193,6547
長崎県,5152,4370,5830,2498,6047,2528,2647,4882,9326,3633,2317,10415,9703,712,0,9945,6355,982,5373,8708,3348,503,4248,2249,1349,822,78,580,544,1863,1908,329,504,1075,1016,20,3920,1395,717,141,586,1185,449,2093,553,1776,6377,4420,15025,1420,8,13598,13218,2895,53,1388,450,5381,387,842,1189,506,2061,222,174,1,2233,10570,1218,1130,1502,6720,17829,2032,3056,1265,700,10776,5050,10254,12521
熊本県,4451,4042,5668,2667,5817,2396,2753,4746,8458,3519,2525,10413,9509,904,0,11257,11760,1565,10195,9026,3291,611,4166,2160,1454,561,144,547,825,1802,1884,291,467,1126,818,10,4339,1369,711,99,585,801,645,1912,1057,1558,6513,3447,20913,5901,63,14950,13879,4037,58,1059,1027,5115,424,1192,380,530,2178,266,143,1,2441,14095,1818,2482,1842,7953,21380,2208,3571,1104,988,13509,3974,8244,3681
大分県,5362,4192,6155,2424,5773,2359,2716,5137,8971,3406,2473,10325,9507,818,0,10435,3815,1029,2786,8357,2804,454,3634,3057,1825,824,408,757,676,1915,1964,335,467,1162,976,29,4359,1474,777,122,698,955,370,2058,886,1246,5687,4348,16245,2592,23,13630,13833,4491,12,991,707,5293,457,1322,526,330,2165,366,125,2,3167,13884,1225,2829,1578,8252,20296,2570,3209,1222,983,12311,7012,9670,7166
宮崎県,4984,4327,6068,2560,6085,2437,2789,4824,8776,3937,2630,11040,10286,754,0,11848,7854,824,7030,8180,2673,627,3887,1577,902,456,218,651,792,2054,1858,313,417,1128,786,102,3192,1031,749,96,571,941,347,2301,1015,1994,5354,1861,16683,3360,58,13266,12536,1970,58,1024,525,4198,394,702,285,367,1904,454,91,0,2619,12366,1243,1224,1897,8003,18954,2219,3139,1101,1054,11440,7796,8909,4377
鹿児島県,4508,4109,5236,2422,5620,2152,2611,4692,8032,3495,2486,9839,9075,763,0,10787,4558,1050,3508,8662,3065,364,3150,1786,1128,263,396,492,496,1558,1922,310,464,1147,1595,109,2838,998,607,130,447,929,526,2272,1440,1992,6309,3268,18843,5206,41,13596,11854,3121,212,999,1295,4868,462,853,297,520,2184,475,76,1,2248,8659,1088,706,1123,5742,18373,1837,2940,1681,955,10961,4781,10472,9153
沖縄県,4534,2813,4595,2473,6233,2147,2356,4448,8895,4304,2481,11814,11192,622,0,20566,1152,580,572,9431,3244,276,3781,1679,1180,315,184,213,337,1588,2226,439,504,1283,428,11,2716,894,437,25,366,944,147,1757,918,1226,4622,3411,14918,1745,16,13157,11547,5534,60,623,799,3611,340,778,225,294,1410,410,150,4,1979,10689,1417,1897,1800,5576,14089,1355,2910,1287,1089,7448,4375,7034,4372
